WAARNEMINGDATUM;WAARNEMINGTIJD (MET/CET);;NUMERIEKEWAARDE
18-2-2022;22:20:00;18-2-2022 22:20;73
18-2-2022;22:30:00;18-2-2022 22:30;71
18-2-2022;22:40:00;18-2-2022 22:40;67
18-2-2022;22:50:00;18-2-2022 22:50;64
18-2-2022;23:00:00;18-2-2022 23:00;61
18-2-2022;23:10:00;18-2-2022 23:10;56
18-2-2022;23:20:00;18-2-2022 23:20;53
18-2-2022;23:30:00;18-2-2022 23:30;50
18-2-2022;23:40:00;18-2-2022 23:40;45
18-2-2022;23:50:00;18-2-2022 23:50;42
19-2-2022;00:00:00;19-2-2022 00:00;42
19-2-2022;00:10:00;19-2-2022 00:10;42
19-2-2022;00:20:00;19-2-2022 00:20;42
19-2-2022;00:30:00;19-2-2022 00:30;44
19-2-2022;00:40:00;19-2-2022 00:40;46
19-2-2022;00:50:00;19-2-2022 00:50;50
19-2-2022;01:00:00;19-2-2022 01:00;51
19-2-2022;01:10:00;19-2-2022 01:10;50
19-2-2022;01:20:00;19-2-2022 01:20;53
19-2-2022;01:30:00;19-2-2022 01:30;59
19-2-2022;01:40:00;19-2-2022 01:40;66
19-2-2022;01:50:00;19-2-2022 01:50;75
19-2-2022;02:00:00;19-2-2022 02:00;85
19-2-2022;02:10:00;19-2-2022 02:10;96
19-2-2022;02:20:00;19-2-2022 02:20;110
19-2-2022;02:30:00;19-2-2022 02:30;124
19-2-2022;02:40:00;19-2-2022 02:40;139
19-2-2022;02:50:00;19-2-2022 02:50;155
19-2-2022;03:00:00;19-2-2022 03:00;172
19-2-2022;03:10:00;19-2-2022 03:10;187
19-2-2022;03:20:00;19-2-2022 03:20;200
19-2-2022;03:30:00;19-2-2022 03:30;209
19-2-2022;03:40:00;19-2-2022 03:40;216
19-2-2022;03:50:00;19-2-2022 03:50;220
19-2-2022;04:00:00;19-2-2022 04:00;222
19-2-2022;04:10:00;19-2-2022 04:10;218
19-2-2022;04:20:00;19-2-2022 04:20;213
19-2-2022;04:30:00;19-2-2022 04:30;212
19-2-2022;04:40:00;19-2-2022 04:40;212
19-2-2022;04:50:00;19-2-2022 04:50;208
19-2-2022;05:00:00;19-2-2022 05:00;207
19-2-2022;05:10:00;19-2-2022 05:10;208
19-2-2022;05:20:00;19-2-2022 05:20;208
19-2-2022;05:30:00;19-2-2022 05:30;203
19-2-2022;05:40:00;19-2-2022 05:40;196
19-2-2022;05:50:00;19-2-2022 05:50;187
19-2-2022;06:00:00;19-2-2022 06:00;182
19-2-2022;06:10:00;19-2-2022 06:10;174
19-2-2022;06:20:00;19-2-2022 06:20;166
19-2-2022;06:30:00;19-2-2022 06:30;158
19-2-2022;06:40:00;19-2-2022 06:40;150
19-2-2022;06:50:00;19-2-2022 06:50;142
19-2-2022;07:00:00;19-2-2022 07:00;133
19-2-2022;07:10:00;19-2-2022 07:10;123
19-2-2022;07:20:00;19-2-2022 07:20;111
19-2-2022;07:30:00;19-2-2022 07:30;101
19-2-2022;07:40:00;19-2-2022 07:40;86
19-2-2022;07:50:00;19-2-2022 07:50;75
19-2-2022;08:00:00;19-2-2022 08:00;64
19-2-2022;08:10:00;19-2-2022 08:10;53
19-2-2022;08:20:00;19-2-2022 08:20;46
19-2-2022;08:30:00;19-2-2022 08:30;39
19-2-2022;08:40:00;19-2-2022 08:40;32
19-2-2022;08:50:00;19-2-2022 08:50;27
19-2-2022;09:00:00;19-2-2022 09:00;21
19-2-2022;09:10:00;19-2-2022 09:10;14
19-2-2022;09:20:00;19-2-2022 09:20;8
19-2-2022;09:30:00;19-2-2022 09:30;3
19-2-2022;09:40:00;19-2-2022 09:40;-1
19-2-2022;09:50:00;19-2-2022 09:50;-5
19-2-2022;10:00:00;19-2-2022 10:00;-7
19-2-2022;10:10:00;19-2-2022 10:10;-9
19-2-2022;10:20:00;19-2-2022 10:20;-10
19-2-2022;10:30:00;19-2-2022 10:30;-9
19-2-2022;10:40:00;19-2-2022 10:40;-11
19-2-2022;10:50:00;19-2-2022 10:50;-12
19-2-2022;11:00:00;19-2-2022 11:00;-12
19-2-2022;11:10:00;19-2-2022 11:10;-15
19-2-2022;11:20:00;19-2-2022 11:20;-18
19-2-2022;11:30:00;19-2-2022 11:30;-21
19-2-2022;11:40:00;19-2-2022 11:40;-24
19-2-2022;11:50:00;19-2-2022 11:50;-26
19-2-2022;12:00:00;19-2-2022 12:00;-26
19-2-2022;12:10:00;19-2-2022 12:10;-29
19-2-2022;12:20:00;19-2-2022 12:20;-30
19-2-2022;12:30:00;19-2-2022 12:30;-31
19-2-2022;12:40:00;19-2-2022 12:40;-33
19-2-2022;12:50:00;19-2-2022 12:50;-34
19-2-2022;13:00:00;19-2-2022 13:00;-35
19-2-2022;13:10:00;19-2-2022 13:10;-34
19-2-2022;13:20:00;19-2-2022 13:20;-33
19-2-2022;13:30:00;19-2-2022 13:30;-31
19-2-2022;13:40:00;19-2-2022 13:40;-28
19-2-2022;13:50:00;19-2-2022 13:50;-24
19-2-2022;14:00:00;19-2-2022 14:00;-19
19-2-2022;14:10:00;19-2-2022 14:10;-13
19-2-2022;14:20:00;19-2-2022 14:20;-7
19-2-2022;14:30:00;19-2-2022 14:30;0
19-2-2022;14:40:00;19-2-2022 14:40;9
19-2-2022;14:50:00;19-2-2022 14:50;20
19-2-2022;15:00:00;19-2-2022 15:00;34
19-2-2022;15:10:00;19-2-2022 15:10;50
19-2-2022;15:20:00;19-2-2022 15:20;69
19-2-2022;15:30:00;19-2-2022 15:30;90
19-2-2022;15:40:00;19-2-2022 15:40;112
